,trip_id,start_time,stop_time,bike_id,trip_dur,from_station_id,from_station_name,to_station_id,to_station_name,usertype
119,64363456,2019-02-03 03:07:00,2019-02-03 03:21:00,70680,844,1002.0,Third Ave & Wood St,1007.0,Stevenson St & Forbes Ave,Customer
120,64363465,2019-02-03 03:08:00,2019-02-03 03:19:00,70191,646,1002.0,Third Ave & Wood St,1007.0,Stevenson St & Forbes Ave,Subscriber
121,64366012,2019-02-03 07:26:00,2019-02-03 07:33:00,70500,454,1032.0,Walnut St & College St,1028.0,Penn Ave & Putnam St (Bakery Square),Subscriber
122,64366345,2019-02-03 07:59:00,2019-02-03 08:08:00,70143,497,1000.0,Liberty Ave & Stanwix St,1016.0,17th St & Penn Ave,Subscriber
123,64366671,2019-02-03 08:31:00,2019-02-03 08:54:00,70060,1375,1018.0,Butler St & Stanton Ave,49671.0,9th St & Penn Ave,Subscriber
124,64366716,2019-02-03 08:35:00,2019-02-03 09:11:00,70568,2203,1013.0,Isabella St & Federal St (PNC Park),1046.0,S 25th St & E Carson St,Subscriber
125,64366759,2019-02-03 08:38:00,2019-02-03 09:12:00,70612,2004,49661.0,Seventh Ave & Liberty Ave,1046.0,S 25th St & E Carson St,Subscriber
126,64366971,2019-02-03 08:57:00,2019-02-03 09:31:00,70643,2050,49561.0,Butler St & 48th St,1018.0,Butler St & Stanton Ave,Customer
127,64367008,2019-02-03 09:00:00,2019-02-03 09:14:00,70027,811,1020.0,42nd & Penn Ave.,1031.0,Maryland Ave & Ellsworth Ave,Subscriber
129,64367322,2019-02-03 09:30:00,2019-02-03 09:44:00,70392,869,1035.0,Fifth Ave & S Dithridge St,1063.0,Penn Ave & N Atlantic Ave,Customer
130,64367471,2019-02-03 09:42:00,2019-02-03 09:57:00,70643,935,1018.0,Butler St & Stanton Ave,1060.0,Penn Ave and 29th St,Customer
131,64367472,2019-02-03 09:42:00,2019-02-03 09:42:00,70590,23,1000.0,Liberty Ave & Stanwix St,1000.0,Liberty Ave & Stanwix St,Customer
132,64367488,2019-02-03 09:43:00,2019-02-03 10:44:00,70543,3643,1000.0,Liberty Ave & Stanwix St,1000.0,Liberty Ave & Stanwix St,Customer
133,64367647,2019-02-03 09:55:00,2019-02-03 10:28:00,70618,1960,1011.0,Fort Duquesne Blvd & 7th St,1016.0,17th St & Penn Ave,Customer
134,64367666,2019-02-03 09:58:00,2019-02-03 10:05:00,70540,421,1027.0,Shady Ave & Ellsworth Ave,1023.0,Liberty Ave & Baum Blvd,Subscriber
135,64367683,2019-02-03 09:59:00,2019-02-03 10:05:00,70228,339,1047.0,S 22nd St & E Carson St,1048.0,S 18th St & Sidney St,Subscriber
136,64367734,2019-02-03 10:04:00,2019-02-03 10:19:00,70065,880,1011.0,Fort Duquesne Blvd & 7th St,1016.0,17th St & Penn Ave,Customer
141,64368258,2019-02-03 10:47:00,2019-02-03 10:56:00,70276,532,1050.0,Healthy Ride Hub,1061.0,33rd St and Penn Ave,Customer
142,64368278,2019-02-03 10:49:00,2019-02-03 10:57:00,70537,454,1050.0,Healthy Ride Hub,1061.0,33rd St and Penn Ave,Customer
143,64368345,2019-02-03 10:55:00,2019-02-03 11:02:00,70500,394,1028.0,Penn Ave & Putnam St (Bakery Square),1032.0,Walnut St & College St,Subscriber
144,64368405,2019-02-03 11:01:00,2019-02-03 11:01:00,70211,5,1001.0,Forbes Ave & Market Square,49771.0,Fifth Ave & Jumonville St,Customer
145,64368538,2019-02-03 11:12:00,2019-02-03 11:20:00,70609,479,1026.0,Penn Ave & S Whitfield St,1028.0,Penn Ave & Putnam St (Bakery Square),Subscriber
146,64368617,2019-02-03 11:19:00,2019-02-03 15:24:00,70509,14720,49651.0,Grant St & Strawberry Way,1007.0,Stevenson St & Forbes Ave,Customer
147,64368665,2019-02-03 11:23:00,2019-02-03 12:10:00,70070,2853,1050.0,Healthy Ride Hub,1061.0,33rd St and Penn Ave,Customer
148,64368803,2019-02-03 11:33:00,2019-02-03 12:28:00,70308,3278,1050.0,Healthy Ride Hub,1050.0,Healthy Ride Hub,Customer
149,64368892,2019-02-03 11:39:00,2019-02-03 11:46:00,70680,417,1007.0,Stevenson St & Forbes Ave,49641.0,11th St & Penn Ave,Subscriber
150,64368917,2019-02-03 11:41:00,2019-02-03 12:09:00,70267,1679,1061.0,33rd St and Penn Ave,1061.0,33rd St and Penn Ave,Customer
151,64369016,2019-02-03 11:50:00,2019-02-03 11:51:00,70332,52,1046.0,S 25th St & E Carson St,1046.0,S 25th St & E Carson St,Customer
152,64369048,2019-02-03 11:52:00,2019-02-03 15:19:00,70690,12412,1034.0,Ellsworth Ave & N Neville St,1041.0,Fifth Ave & S Bouquet St,Customer
153,64369064,2019-02-03 11:53:00,2019-02-03 14:43:00,70622,10214,1034.0,Ellsworth Ave & N Neville St,1041.0,Fifth Ave & S Bouquet St,Customer
155,64369145,2019-02-03 11:59:00,2019-02-03 12:11:00,70627,669,1047.0,S 22nd St & E Carson St,1049.0,S 12th St & E Carson St,Customer
156,64369150,2019-02-03 12:00:00,2019-02-03 12:12:00,70559,697,1047.0,S 22nd St & E Carson St,1049.0,S 12th St & E Carson St,Subscriber
158,64369173,2019-02-03 12:01:00,2019-02-03 12:16:00,70065,880,1016.0,17th St & Penn Ave,1011.0,Fort Duquesne Blvd & 7th St,Customer
159,64369261,2019-02-03 12:07:00,2019-02-03 12:37:00,70481,1761,1044.0,Zulema St & Coltart Ave,49741.0,Washington Pl & Centre Ave,Customer
161,64369363,2019-02-03 12:16:00,2019-02-03 12:17:00,70070,74,1061.0,33rd St and Penn Ave,1061.0,33rd St and Penn Ave,Customer
162,64369367,2019-02-03 12:16:00,2019-02-03 12:17:00,70537,48,1061.0,33rd St and Penn Ave,1061.0,33rd St and Penn Ave,Customer
163,64369614,2019-02-03 12:36:00,2019-02-03 12:44:00,70540,456,1023.0,Liberty Ave & Baum Blvd,1027.0,Shady Ave & Ellsworth Ave,Subscriber
164,64369709,2019-02-03 12:44:00,2019-02-03 12:47:00,70246,205,1050.0,Healthy Ride Hub,1050.0,Healthy Ride Hub,Customer
165,64369868,2019-02-03 13:00:00,2019-02-03 13:04:00,70091,278,1029.0,Alder St & S Highland Ave,1033.0,Ivy St & Walnut St   ,Subscriber
166,64369888,2019-02-03 13:01:00,2019-02-03 13:13:00,70418,707,1028.0,Penn Ave & Putnam St (Bakery Square),1024.0,S Negley Ave & Baum Blvd,Subscriber
167,64370102,2019-02-03 13:24:00,2019-02-03 13:25:00,70407,52,1061.0,33rd St and Penn Ave,1061.0,33rd St and Penn Ave,Customer
168,64370333,2019-02-03 13:47:00,2019-02-03 14:01:00,70204,834,1099.0,Forbes Ave & S Craig St,1030.0,S Euclid Ave & Centre Ave,Subscriber
169,64370343,2019-02-03 13:47:00,2019-02-03 15:14:00,70302,5174,1014.0,Ridge Ave & Brighton Rd (CCAC),1014.0,Ridge Ave & Brighton Rd (CCAC),Subscriber
170,64370507,2019-02-03 14:04:00,2019-02-03 14:14:00,70179,632,49691.0,Liberty Ave & 6th St,1016.0,17th St & Penn Ave,Customer
171,64370652,2019-02-03 14:17:00,2019-02-03 14:26:00,70504,526,49501.0,Penn Ave & 39th St,1017.0,21st St & Penn Ave,Subscriber
173,64370727,2019-02-03 14:27:00,2019-02-03 14:39:00,70582,717,49581.0,Liberty Ave & 37th St,1017.0,21st St & Penn Ave,Subscriber
174,64370728,2019-02-03 14:27:00,2019-02-03 14:39:00,70513,717,49581.0,Liberty Ave & 37th St,1017.0,21st St & Penn Ave,Customer
175,64370797,2019-02-03 14:36:00,2019-02-03 15:09:00,70228,2037,1048.0,S 18th St & Sidney St,1014.0,Ridge Ave & Brighton Rd (CCAC),Customer
176,64370803,2019-02-03 14:37:00,2019-02-03 15:06:00,70117,1789,1048.0,S 18th St & Sidney St,1014.0,Ridge Ave & Brighton Rd (CCAC),Customer
177,64370842,2019-02-03 14:41:00,2019-02-03 15:57:00,70689,4528,1012.0,North Shore Trail & Fort Duquesne Bridge,1012.0,North Shore Trail & Fort Duquesne Bridge,Customer
178,64370844,2019-02-03 14:41:00,2019-02-03 14:43:00,70286,64,1012.0,North Shore Trail & Fort Duquesne Bridge,1012.0,North Shore Trail & Fort Duquesne Bridge,Subscriber
179,64370855,2019-02-03 14:43:00,2019-02-03 14:50:00,70582,422,1017.0,21st St & Penn Ave,49671.0,9th St & Penn Ave,Subscriber
180,64370902,2019-02-03 14:48:00,2019-02-03 14:52:00,70286,255,1012.0,North Shore Trail & Fort Duquesne Bridge,1012.0,North Shore Trail & Fort Duquesne Bridge,Subscriber
181,64370903,2019-02-03 14:48:00,2019-02-03 15:57:00,70229,4154,1012.0,North Shore Trail & Fort Duquesne Bridge,1012.0,North Shore Trail & Fort Duquesne Bridge,Customer
182,64370921,2019-02-03 14:49:00,2019-02-03 14:49:00,70545,6,1005.0,Forbes Ave & Grant St,49711.0,First Ave & Stanwix St,Customer
183,64370925,2019-02-03 14:50:00,2019-02-03 16:03:00,70489,4419,1015.0,Federal St & E North Ave,1017.0,21st St & Penn Ave,Customer
184,64370926,2019-02-03 14:50:00,2019-02-03 16:03:00,70409,4404,1015.0,Federal St & E North Ave,1017.0,21st St & Penn Ave,Customer
185,64370929,2019-02-03 14:50:00,2019-02-03 14:57:00,70256,433,1033.0,Ivy St & Walnut St   ,1024.0,S Negley Ave & Baum Blvd,Subscriber
186,64370992,2019-02-03 14:57:00,2019-02-03 16:06:00,70619,4152,1012.0,North Shore Trail & Fort Duquesne Bridge,1012.0,North Shore Trail & Fort Duquesne Bridge,Customer
187,64371012,2019-02-03 14:59:00,2019-02-03 15:03:00,70677,222,1012.0,North Shore Trail & Fort Duquesne Bridge,1012.0,North Shore Trail & Fort Duquesne Bridge,Subscriber
188,64371154,2019-02-03 15:16:00,2019-02-04 11:01:00,70382,71112,1013.0,Isabella St & Federal St (PNC Park),1013.0,Isabella St & Federal St (PNC Park),Customer
189,64371190,2019-02-03 15:21:00,2019-02-04 11:01:00,70568,70829,1013.0,Isabella St & Federal St (PNC Park),1013.0,Isabella St & Federal St (PNC Park),Customer
190,64371222,2019-02-03 15:27:00,2019-02-03 15:30:00,70091,192,1033.0,Ivy St & Walnut St   ,1033.0,Ivy St & Walnut St   ,Subscriber
191,64371233,2019-02-03 15:28:00,2019-02-03 15:35:00,70067,382,1038.0,Boulevard of the Allies & Parkview Ave,1094.0,O'Hara St & Desoto St,Subscriber
192,64371242,2019-02-03 15:30:00,2019-02-03 15:34:00,70254,256,1033.0,Ivy St & Walnut St   ,1029.0,Alder St & S Highland Ave,Customer
193,64371281,2019-02-03 15:35:00,2019-02-03 15:36:00,70344,58,1061.0,33rd St and Penn Ave,1061.0,33rd St and Penn Ave,Customer
194,64371415,2019-02-03 15:57:00,2019-02-03 16:08:00,70272,656,1035.0,Fifth Ave & S Dithridge St,1037.0,Frew St & Schenley Dr,Customer
